freq_GHz,target_s11_dB,pred_s11_dB
1.716432865731462920e+00,-1.000000000000000000e+00,-1.188423752784729004e+00
1.720440881763527052e+00,-1.000000000000000000e+00,-1.191387057304382324e+00
1.724448897795591185e+00,-1.000000000000000000e+00,-1.194362163543701172e+00
1.728456913827655317e+00,-1.000000000000000000e+00,-1.197336435317993164e+00
1.732464929859719449e+00,-1.000000000000000000e+00,-1.200299739837646484e+00
1.736472945891783581e+00,-1.000000000000000000e+00,-1.203225612640380859e+00
1.740480961923847714e+00,-1.000000000000000000e+00,-1.206119537353515625e+00
1.744488977955911846e+00,-1.000000000000000000e+00,-1.208950161933898926e+00
1.748496993987975978e+00,-1.000000000000000000e+00,-1.211719989776611328e+00
1.752505010020040110e+00,-1.000000000000000000e+00,-1.214397072792053223e+00
1.756513026052104243e+00,-1.000000000000000000e+00,-1.216976284980773926e+00
1.760521042084168375e+00,-1.000000000000000000e+00,-1.219445347785949707e+00
1.764529058116232285e+00,-1.000000000000000000e+00,-1.221782803535461426e+00
1.768537074148296639e+00,-1.000000000000000000e+00,-1.223978877067565918e+00
1.772545090180360772e+00,-1.000000000000000000e+00,-1.226012945175170898e+00
1.776553106212424682e+00,-1.000000000000000000e+00,-1.227873802185058594e+00
1.780561122244489036e+00,-1.000000000000000000e+00,-1.229542016983032227e+00
1.784569138276553169e+00,-1.000000000000000000e+00,-1.231009483337402344e+00
1.788577154308617079e+00,-1.000000000000000000e+00,-1.232256174087524414e+00
1.792585170340681211e+00,-1.000000000000000000e+00,-1.233269453048706055e+00
1.796593186372745565e+00,-1.000000000000000000e+00,-1.234031915664672852e+00
1.800601202404809476e+00,-1.000000000000000000e+00,-1.234530329704284668e+00
1.804609218436873608e+00,-1.000000000000000000e+00,-1.234752297401428223e+00
1.808617234468937962e+00,-1.000000000000000000e+00,-1.234683156013488770e+00
1.812625250501002094e+00,-1.000000000000000000e+00,-1.234307169914245605e+00
1.816633266533066227e+00,-1.000000000000000000e+00,-1.233618378639221191e+00
1.820641282565130137e+00,-1.000000000000000000e+00,-1.232595205307006836e+00
1.824649298597194491e+00,-1.000000000000000000e+00,-1.231229424476623535e+00
1.828657314629258623e+00,-1.000000000000000000e+00,-1.229504942893981934e+00
1.832665330661322534e+00,-1.000000000000000000e+00,-1.227416515350341797e+00
1.836673346693386888e+00,-1.000000000000000000e+00,-1.224948763847351074e+00
1.840681362725451020e+00,-1.000000000000000000e+00,-1.222096204757690430e+00
1.844689378757514930e+00,-1.000000000000000000e+00,-1.218845367431640625e+00
1.848697394789579063e+00,-1.000000000000000000e+00,-1.215191960334777832e+00
1.852705410821643417e+00,-1.000000000000000000e+00,-1.211125254631042480e+00
1.856713426853707327e+00,-1.000000000000000000e+00,-1.206638216972351074e+00
1.860721442885771459e+00,-1.000000000000000000e+00,-1.201722502708435059e+00
1.864729458917835814e+00,-1.000000000000000000e+00,-1.196376204490661621e+00
1.868737474949899724e+00,-1.000000000000000000e+00,-1.190595626831054688e+00
1.872745490981963856e+00,-1.000000000000000000e+00,-1.184372663497924805e+00
1.876753507014027988e+00,-1.000000000000000000e+00,-1.177708983421325684e+00
1.880761523046092343e+00,-1.000000000000000000e+00,-1.170608162879943848e+00
1.884769539078156253e+00,-1.000000000000000000e+00,-1.163061261177062988e+00
1.888777555110220385e+00,-1.000000000000000000e+00,-1.155072569847106934e+00
1.892785571142284740e+00,-1.000000000000000000e+00,-1.146653294563293457e+00
1.896793587174348872e+00,-1.000000000000000000e+00,-1.137794971466064453e+00
1.900801603206412782e+00,-1.000000000000000000e+00,-1.128510475158691406e+00
1.904809619238476914e+00,-1.000000000000000000e+00,-1.118806123733520508e+00
1.908817635270541269e+00,-1.000000000000000000e+00,-1.108687162399291992e+00
1.912825651302605179e+00,-1.000000000000000000e+00,-1.098162889480590820e+00
1.916833667334669311e+00,-1.000000000000000000e+00,-1.087245345115661621e+00
1.920841683366733443e+00,-1.000000000000000000e+00,-1.075953006744384766e+00
1.924849699398797576e+00,-1.000000000000000000e+00,-1.064295530319213867e+00
1.928857715430861708e+00,-1.000000000000000000e+00,-1.052284717559814453e+00
1.932865731462925840e+00,-1.000000000000000000e+00,-1.039941072463989258e+00
1.936873747494989972e+00,-1.000000000000000000e+00,-1.027281641960144043e+00
1.940881763527054105e+00,-1.000000000000000000e+00,-1.014330506324768066e+00
1.944889779559118237e+00,-1.000000000000000000e+00,-1.001105785369873047e+00
1.948897795591182147e+00,-1.000000000000000222e+00,-9.876321554183959961e-01
1.952905811623246501e+00,-1.000000000000000222e+00,-9.739279150962829590e-01
1.956913827655310634e+00,-1.000000000000000444e+00,-9.600243568420410156e-01
1.960921843687374766e+00,-1.000000000000001110e+00,-9.459403753280639648e-01
1.964929859719438898e+00,-1.000000000000001998e+00,-9.317110776901245117e-01
1.968937875751503030e+00,-1.000000000000003997e+00,-9.173620939254760742e-01
1.972945891783567163e+00,-1.000000000000007772e+00,-9.029226899147033691e-01
1.976953907815631295e+00,-1.000000000000015099e+00,-8.884199857711791992e-01
1.980961923847695427e+00,-1.000000000000028866e+00,-8.738893270492553711e-01
1.984969939879759560e+00,-1.000000000000055067e+00,-8.593612909317016602e-01
1.988977955911823692e+00,-1.000000000000104139e+00,-8.448677659034729004e-01
1.992985971943887602e+00,-1.000000000000195621e+00,-8.304399251937866211e-01
1.996993987975951956e+00,-1.000000000000365707e+00,-8.161162137985229492e-01
2.001002004008016311e+00,-1.000000000000679012e+00,-8.019256591796875000e-01
2.005010020040080221e+00,-1.000000000001253442e+00,-7.879067659378051758e-01
2.009018036072144131e+00,-1.000000000002299050e+00,-7.740876674652099609e-01
2.013026052104208485e+00,-1.000000000004190870e+00,-7.605029344558715820e-01
2.017034068136272396e+00,-1.000000000007592371e+00,-7.471967935562133789e-01
2.021042084168336750e+00,-1.000000000013670398e+00,-7.341964244842529297e-01
2.025050100200400660e+00,-1.000000000024461766e+00,-7.215357422828674316e-01
2.029058116232464570e+00,-1.000000000043502091e+00,-7.092553377151489258e-01
